,,,,,,,,,20,18,48,17,18,19,11,45,16,33,12
canonical_feature,display_label,mapped_dataset_column,nhanes_code_match,feature_type,exclude,source_feature_names,notes,sum,perimenopause,thyroid,kidney,sleep_disorder,anemia,liver,prediabetes,hidden_inflammation,electrolytes,hepatitis_bc,iron_deficiency
LBDBMNSI_blood_manganese_nmol_l,Blood manganese (nmol/L),LBDBMNSI_blood_manganese_nmol_l,LBDBMNSI,lab,1,LBDBMNSI_blood_manganese_nmol_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBDBSESI_blood_selenium_umol_l,Blood selenium (umol/L),LBDBSESI_blood_selenium_umol_l,LBDBSESI,lab,1,LBDBSESI_blood_selenium_umol_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBDIRNSI_iron_frozen_serum_umol_l,"Iron frozen, Serum (umol/L)",LBDIRNSI_iron_frozen_serum_umol_l,LBDIRNSI,lab,1,LBDIRNSI_iron_frozen_serum_umol_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBDLDL_ldl_cholesterol_friedewald_mg_dl,"LDL-Cholesterol, Friedewald (mg/dL)",LBDLDL_ldl_cholesterol_friedewald_mg_dl,LBDLDL,lab,,ldl_cholesterol | ldl_cholesterol_mg_dl,Alias normalized to calculated LDL cholesterol.,3,0,0,0,0,1,0,0,1,0,0,1
LBDSALSI_albumin_refrigerated_serum_g_l,"Albumin, refrigerated serum (g/L)",LBDSALSI_albumin_refrigerated_serum_g_l,LBDSALSI,lab,1,LBDSALSI_albumin_refrigerated_serum_g_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBDSGBSI_globulin_g_l,Globulin (g/L),LBDSGBSI_globulin_g_l,LBDSGBSI,lab,1,LBDSGBSI_globulin_g_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBDSIRSI_iron_refrigerated_serum_umol_l,"Iron, refrigerated serum (umol/L)",LBDSIRSI_iron_refrigerated_serum_umol_l,LBDSIRSI,lab,1,LBDSIRSI_iron_refrigerated_serum_umol_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBDTIBSI_tot_iron_binding_capacity_tibc_umol_l,Tot Iron Binding Capacity TIBC (umol/L),LBDTIBSI_tot_iron_binding_capacity_tibc_umol_l,LBDTIBSI,lab,1,LBDTIBSI_tot_iron_binding_capacity_tibc_umol_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBDTIB_total_iron_binding_capacity_tibc_ug_dl,Total Iron Binding Capacity TIBC (ug/dL),LBDTIB_total_iron_binding_capacity_tibc_ug_dl,LBDTIB,lab,1,LBDTIB_total_iron_binding_capacity_tibc_ug_dl,,0,0,0,0,0,0,0,0,0,0,0,0
LBXBMN_blood_manganese_ug_l,Blood manganese (ug/L),LBXBMN_blood_manganese_ug_l,LBXBMN,lab,1,LBXBMN_blood_manganese_ug_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBXBSE_blood_selenium_ug_l,Blood selenium (ug/L),LBXBSE_blood_selenium_ug_l,LBXBSE,lab,1,LBXBSE_blood_selenium_ug_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBXHGB_hemoglobin_g_dl,Hemoglobin (g/dL),LBXHGB_hemoglobin_g_dl,LBXHGB,lab,1,hemoglobin,Alias normalized to hemoglobin.,0,0,0,0,0,0,0,0,0,0,0,0
LBXHSCRP_hs_c_reactive_protein_mg_l,HS C-Reactive Protein (mg/L),LBXHSCRP_hs_c_reactive_protein_mg_l,LBXHSCRP,lab,1,LBXHSCRP_hs_c_reactive_protein_mg_l,,0,0,0,0,0,0,0,0,0,0,0,0
LBXIRN_iron_frozen_serum_ug_dl,"Iron frozen, Serum (ug/dL)",LBXIRN_iron_frozen_serum_ug_dl,LBXIRN,lab,1,LBXIRN_iron_frozen_serum_ug_dl,,0,0,0,0,0,0,0,0,0,0,0,0
LBXMC_mean_cell_hgb_conc_g_dl,Mean Cell Hgb Conc. (g/dL),LBXMC_mean_cell_hgb_conc_g_dl,LBXMC,lab,1,LBXMC_mean_cell_hgb_conc_g_dl,,0,0,0,0,0,0,0,0,0,0,0,0
LBXPLTSI_platelet_count_1000_cells_ul,Platelet count (1000 cells/uL),LBXPLTSI_platelet_count_1000_cells_ul,LBXPLTSI,lab,1,LBXPLTSI_platelet_count_1000_cells_ul | platelet,,0,0,0,0,0,0,0,0,0,0,0,0
LBXSAL_albumin_refrigerated_serum_g_dl,"Albumin, refrigerated serum (g/dL)",LBXSAL_albumin_refrigerated_serum_g_dl,LBXSAL,lab,1,LBXSAL_albumin_refrigerated_serum_g_dl,,0,0,0,0,0,0,0,0,0,0,0,0
LBXSCA_total_calcium_mg_dl,Total Calcium (mg/dL),LBXSCA_total_calcium_mg_dl,LBXSCA,lab,1,calcium,Alias normalized to total calcium.,0,0,0,0,0,0,0,0,0,0,0,0
LBXSGB_globulin_g_dl,Globulin (g/dL),LBXSGB_globulin_g_dl,LBXSGB,lab,1,LBXSGB_globulin_g_dl,,0,0,0,0,0,0,0,0,0,0,0,0
LBXSGL_glucose_refrigerated_serum_mg_dl,"Glucose, refrigerated serum (mg/dL)",LBXSGL_glucose_refrigerated_serum_mg_dl,LBXSGL,lab,1,serum_glucose,Alias normalized to refrigerated serum glucose.,0,0,0,0,0,0,0,0,0,0,0,0
LBXSIR_iron_refrigerated_serum_ug_dl,"Iron, refrigerated serum (ug/dL)",LBXSIR_iron_refrigerated_serum_ug_dl,LBXSIR,lab,1,LBXSIR_iron_refrigerated_serum_ug_dl,,0,0,0,0,0,0,0,0,0,0,0,0
LBXSTP_total_protein_g_dl,Total Protein (g/dL),LBXSTP_total_protein_g_dl,LBXSTP,lab,,total_protein,Alias normalized to total protein.,1,0,0,0,0,0,0,0,0,0,1,0
LBXWBCSI_white_blood_cell_count_1000_cells_ul,White blood cell count (1000 cells/uL),LBXWBCSI_white_blood_cell_count_1000_cells_ul,LBXWBCSI,lab,,wbc,Alias normalized to white blood cell count.,1,0,0,0,0,0,0,0,0,0,1,0
SSLBDHD_hepatitis_d_antibody_anti_hdv_retesting,Hepatitis D antibody (anti-HDV)retesting,SSLBDHD_hepatitis_d_antibody_anti_hdv_retesting,SSLBDHD,lab,1,SSLBDHD_hepatitis_d_antibody_anti_hdv_retesting,,0,0,0,0,0,0,0,0,0,0,0,0
SSMEASQ_measles_igg_antibody_mba_quantitative,Measles IgG Antibody MBA Quantitative,SSMEASQ_measles_igg_antibody_mba_quantitative,SSMEASQ,lab,1,SSMEASQ_measles_igg_antibody_mba_quantitative,,0,0,0,0,0,0,0,0,0,0,0,0
URDPMALC_phenylmercapturic_acid_comment_code,Phenylmercapturic acid comment code,URDPMALC_phenylmercapturic_acid_comment_code,URDPMALC,lab,1,URDPMALC_phenylmercapturic_acid_comment_code,,0,0,0,0,0,0,0,0,0,0,0,0
WTFOLPRP__p_folfms,Folate & Folate Form Weight Pre-Pandemic,WTFOLPRP__p_folfms,WTFOLPRP,lab,1,WTFOLPRP__p_folfms,,0,0,0,0,0,0,0,0,0,0,0,0
WTFOLPRP_folate_folate_form_weight_pre_pandemic,Folate & Folate Form Weight Pre-Pandemic,WTFOLPRP_folate_folate_form_weight_pre_pandemic,WTFOLPRP,lab,1,WTFOLPRP_folate_folate_form_weight_pre_pandemic,,0,0,0,0,0,0,0,0,0,0,0,0
abdominal_pain_miss,abdominal pain miss,abdominal_pain_miss,,unresolved-alias,,abdominal_pain_miss,Raw feature not found directly in merged dataset; retained as supplied.,1,0,0,0,0,0,1,0,0,0,0,0
age_years,age years,age_years,RIDAGEYR,demographic,,age_years,Renamed NHANES age in years field.,8,0,1,1,1,1,0,1,0,1,1,1
alcohol_any_risk_signal,alcohol any risk signal,alcohol_any_risk_signal,ALQ111/130/151/170-derived,derived-questionnaire,,alcohol_any_risk_signal,Derived alcohol-risk composite used by compact electrolyte model.,1,0,0,0,0,0,0,0,0,1,0,0
alp_u_l,Alkaline Phosphatase (ALP) (IU/L),alp_u_l,LBXSAPSI,lab,1,alp,Alias normalized to alkaline phosphatase.,0,0,0,0,0,0,0,0,0,0,0,0
alq111___ever_had_a_drink_of_any_kind_of_alcohol,ALQ111 - Ever had a drink of any kind of alcohol,alq111___ever_had_a_drink_of_any_kind_of_alcohol,ALQ111,questionnaire,,alq111___ever_had_a_drink_of_any_kind_of_alcohol,,1,0,0,0,1,0,0,0,0,0,0,0
alq130___avg_#_alcoholic_drinks/day___past_12_mos,ALQ130 - Avg # alcoholic drinks/day - past 12 mos,alq130___avg_#_alcoholic_drinks/day___past_12_mos,ALQ130,questionnaire,,alq130___avg_#_alcoholic_drinks/day___past_12_mos | avg_drinks_per_day,Alias normalized to NHANES alcohol quantity item.,4,0,1,0,0,0,1,0,1,0,1,0
alq151___ever_have_4/5_or_more_drinks_every_day?,ALQ151 - Ever have 4/5 or more drinks every day?,alq151___ever_have_4/5_or_more_drinks_every_day?,ALQ151,questionnaire,,alq151___ever_have_4/5_or_more_drinks_every_day? | ever_heavy_drinker_daily,,1,0,0,0,0,0,1,0,0,0,0,0
alq170___past_30_days_#_times_4_5_drinks_on_an_oc,ALQ170 - Past 30 days # times 4-5 drinks on an oc,alq170___past_30_days_#_times_4_5_drinks_on_an_oc,ALQ170,questionnaire,,alq170___past_30_days_#_times_4_5_drinks_on_an_oc,,0,0,0,0,0,0,0,0,0,0,0,0
alt_u_l,Alanine Aminotransferase (ALT) (U/L),alt_u_l,LBXSATSI,lab,1,alt,Alias normalized to ALT.,0,0,0,0,0,0,0,0,0,0,0,0
ast_u_l,Aspartate Aminotransferase (AST) (U/L),ast_u_l,LBXSASSI,lab,1,ast,Alias normalized to AST.,0,0,0,0,0,0,0,0,0,0,0,0
avg_drinks_per_day_miss,avg drinks per day miss,avg_drinks_per_day_miss,,unresolved-alias,,avg_drinks_per_day_miss,Raw feature not found directly in merged dataset; retained as supplied.,3,0,0,0,0,0,1,0,1,0,1,0
bmi,bmi,bmi,BMXBMI,derived-exam,,bmi,Body mass index from NHANES body measures.,4,0,0,1,0,1,0,0,1,0,1,0
bmi_miss,bmi miss,bmi_miss,,unresolved-alias,,bmi_miss,Raw feature not found directly in merged dataset; retained as supplied.,3,0,0,1,0,0,0,0,1,0,1,0
bpq020___ever_told_you_had_high_blood_pressure,BPQ020 - Ever told you had high blood pressure,bpq020___ever_told_you_had_high_blood_pressure,BPQ020,questionnaire,,bpq020___ever_told_you_had_high_blood_pressure | ever_told_high_bp,,3,0,0,1,1,0,0,0,0,1,0,0
