column,dtype,missing_n,missing_pct,n_unique,column_norm,source_column_norm,mapped_domain,mapped_source_file,mapped_source_column,domain,source_file,source_column,mapping_method
mcq151___age_in_years_at_first_menstrual_period,float64,7437,100.0,0,mcq151_age_in_years_at_first_menstrual_period,mcq151_age_in_years_at_first_menstrual_period,questionnaire,merged_questionnaire.csv,mcq151___age_in_years_at_first_menstrual_period,questionnaire,merged_questionnaire.csv,mcq151___age_in_years_at_first_menstrual_period,exact_header_match
smd630___age_first_smoked_whole_cigarette,float64,7437,100.0,0,smd630_age_first_smoked_whole_cigarette,smd630_age_first_smoked_whole_cigarette,questionnaire,merged_questionnaire.csv,smd630___age_first_smoked_whole_cigarette,questionnaire,merged_questionnaire.csv,smd630___age_first_smoked_whole_cigarette,exact_header_match
smq621___cigarettes_smoked_in_entire_life,float64,7437,100.0,0,smq621_cigarettes_smoked_in_entire_life,smq621_cigarettes_smoked_in_entire_life,questionnaire,merged_questionnaire.csv,smq621___cigarettes_smoked_in_entire_life,questionnaire,merged_questionnaire.csv,smq621___cigarettes_smoked_in_entire_life,exact_header_match
mcq149___menstrual_periods_started_yet?,float64,7437,100.0,0,mcq149_menstrual_periods_started_yet,mcq149_menstrual_periods_started_yet,questionnaire,merged_questionnaire.csv,mcq149___menstrual_periods_started_yet?,questionnaire,merged_questionnaire.csv,mcq149___menstrual_periods_started_yet?,exact_header_match
medication_22,str,7435,99.97,2,medication_22,medication_22,questionnaire,merged_questionnaire.csv,medication_22,questionnaire,merged_questionnaire.csv,medication_22,exact_header_match
medication_21,str,7435,99.97,2,medication_21,medication_21,questionnaire,merged_questionnaire.csv,medication_21,questionnaire,merged_questionnaire.csv,medication_21,exact_header_match
medication_20,str,7434,99.96,3,medication_20,medication_20,questionnaire,merged_questionnaire.csv,medication_20,questionnaire,merged_questionnaire.csv,medication_20,exact_header_match
medication_19,str,7432,99.93,5,medication_19,medication_19,questionnaire,merged_questionnaire.csv,medication_19,questionnaire,merged_questionnaire.csv,medication_19,exact_header_match
mcq230c___what_kind_of_cancer_third_mention,float64,7432,99.93,4,mcq230c_what_kind_of_cancer_third_mention,mcq230c_what_kind_of_cancer_third_mention,questionnaire,merged_questionnaire.csv,mcq230c___what_kind_of_cancer_third_mention,questionnaire,merged_questionnaire.csv,mcq230c___what_kind_of_cancer_third_mention,exact_header_match
mcq510b___liver_condition_non_alcoholic_fatty_liver,float64,7431,99.92,1,mcq510b_liver_condition_non_alcoholic_fatty_liver,mcq510b_liver_condition_non_alcoholic_fatty_liver,questionnaire,merged_questionnaire.csv,mcq510b___liver_condition_non_alcoholic_fatty_liver,questionnaire,merged_questionnaire.csv,mcq510b___liver_condition_non_alcoholic_fatty_liver,exact_header_match
medication_18,str,7430,99.91,7,medication_18,medication_18,questionnaire,merged_questionnaire.csv,medication_18,questionnaire,merged_questionnaire.csv,medication_18,exact_header_match
cdq009g___pain_in_left_arm,float64,7426,99.85,1,cdq009g_pain_in_left_arm,cdq009g_pain_in_left_arm,questionnaire,merged_questionnaire.csv,cdq009g___pain_in_left_arm,questionnaire,merged_questionnaire.csv,cdq009g___pain_in_left_arm,exact_header_match
cdq009c___pain_in_neck,float64,7425,99.84,1,cdq009c_pain_in_neck,cdq009c_pain_in_neck,questionnaire,merged_questionnaire.csv,cdq009c___pain_in_neck,questionnaire,merged_questionnaire.csv,cdq009c___pain_in_neck,exact_header_match
medication_17,str,7425,99.84,12,medication_17,medication_17,questionnaire,merged_questionnaire.csv,medication_17,questionnaire,merged_questionnaire.csv,medication_17,exact_header_match
mcq510e___liver_condition_autoimmune,float64,7424,99.83,1,mcq510e_liver_condition_autoimmune,mcq510e_liver_condition_autoimmune,questionnaire,merged_questionnaire.csv,mcq510e___liver_condition_autoimmune,questionnaire,merged_questionnaire.csv,mcq510e___liver_condition_autoimmune,exact_header_match
cdq009a___pain_in_right_arm,float64,7423,99.81,1,cdq009a_pain_in_right_arm,cdq009a_pain_in_right_arm,questionnaire,merged_questionnaire.csv,cdq009a___pain_in_right_arm,questionnaire,merged_questionnaire.csv,cdq009a___pain_in_right_arm,exact_header_match
medication_16,str,7419,99.76,18,medication_16,medication_16,questionnaire,merged_questionnaire.csv,medication_16,questionnaire,merged_questionnaire.csv,medication_16,exact_header_match
mcq510c___liver_condition_alcoholic_liver_disease,float64,7415,99.7,1,mcq510c_liver_condition_alcoholic_liver_disease,mcq510c_liver_condition_alcoholic_liver_disease,questionnaire,merged_questionnaire.csv,mcq510c___liver_condition_alcoholic_liver_disease,questionnaire,merged_questionnaire.csv,mcq510c___liver_condition_alcoholic_liver_disease,exact_header_match
rhq020___age_range_at_first_menstrual_period,float64,7413,99.68,5,rhq020_age_range_at_first_menstrual_period,rhq020_age_range_at_first_menstrual_period,questionnaire,merged_questionnaire.csv,rhq020___age_range_at_first_menstrual_period,questionnaire,merged_questionnaire.csv,rhq020___age_range_at_first_menstrual_period,exact_header_match
whd080u___had_weight_loss_surgery_to_lose_weight,float64,7412,99.66,1,whd080u_had_weight_loss_surgery_to_lose_weight,whd080u_had_weight_loss_surgery_to_lose_weight,questionnaire,merged_questionnaire.csv,whd080u___had_weight_loss_surgery_to_lose_weight,questionnaire,merged_questionnaire.csv,whd080u___had_weight_loss_surgery_to_lose_weight,exact_header_match
medication_15,str,7412,99.66,23,medication_15,medication_15,questionnaire,merged_questionnaire.csv,medication_15,questionnaire,merged_questionnaire.csv,medication_15,exact_header_match
mcq230b___what_kind_of_cancer_second_mention,float64,7408,99.61,15,mcq230b_what_kind_of_cancer_second_mention,mcq230b_what_kind_of_cancer_second_mention,questionnaire,merged_questionnaire.csv,mcq230b___what_kind_of_cancer_second_mention,questionnaire,merged_questionnaire.csv,mcq230b___what_kind_of_cancer_second_mention,exact_header_match
rhq070___age_range_at_last_menstrual_period,float64,7408,99.61,8,rhq070_age_range_at_last_menstrual_period,rhq070_age_range_at_last_menstrual_period,questionnaire,merged_questionnaire.csv,rhq070___age_range_at_last_menstrual_period,questionnaire,merged_questionnaire.csv,rhq070___age_range_at_last_menstrual_period,exact_header_match
medication_14,str,7402,99.53,26,medication_14,medication_14,questionnaire,merged_questionnaire.csv,medication_14,questionnaire,merged_questionnaire.csv,medication_14,exact_header_match
medication_13,str,7394,99.42,30,medication_13,medication_13,questionnaire,merged_questionnaire.csv,medication_13,questionnaire,merged_questionnaire.csv,medication_13,exact_header_match
cdq009b___pain_in_right_chest,float64,7393,99.41,1,cdq009b_pain_in_right_chest,cdq009b_pain_in_right_chest,questionnaire,merged_questionnaire.csv,cdq009b___pain_in_right_chest,questionnaire,merged_questionnaire.csv,cdq009b___pain_in_right_chest,exact_header_match
rhq542b___hormone_patches_used,float64,7386,99.31,1,rhq542b_hormone_patches_used,rhq542b_hormone_patches_used,questionnaire,merged_questionnaire.csv,rhq542b___hormone_patches_used,questionnaire,merged_questionnaire.csv,rhq542b___hormone_patches_used,exact_header_match
whd080p___started_to_smoke_or_began_to_smoke_again,float64,7385,99.3,1,whd080p_started_to_smoke_or_began_to_smoke_again,whd080p_started_to_smoke_or_began_to_smoke_again,questionnaire,merged_questionnaire.csv,whd080p___started_to_smoke_or_began_to_smoke_again,questionnaire,merged_questionnaire.csv,whd080p___started_to_smoke_or_began_to_smoke_again,exact_header_match
cdq009e___pain_in_lower_sternum,float64,7380,99.23,1,cdq009e_pain_in_lower_sternum,cdq009e_pain_in_lower_sternum,questionnaire,merged_questionnaire.csv,cdq009e___pain_in_lower_sternum,questionnaire,merged_questionnaire.csv,cdq009e___pain_in_lower_sternum,exact_header_match
mcq510d___liver_condition_hepatitis,float64,7378,99.21,1,mcq510d_liver_condition_hepatitis,mcq510d_liver_condition_hepatitis,questionnaire,merged_questionnaire.csv,mcq510d___liver_condition_hepatitis,questionnaire,merged_questionnaire.csv,mcq510d___liver_condition_hepatitis,exact_header_match
whd080l___other,float64,7377,99.19,1,whd080l_other,whd080l_other,questionnaire,merged_questionnaire.csv,whd080l___other,questionnaire,merged_questionnaire.csv,whd080l___other,exact_header_match
rxdrsd3___icd_10_cm_code_3_description,str,7374,99.15,29,rxdrsd3_icd_10_cm_code_3_description,rxdrsd3_icd_10_cm_code_3_description,questionnaire,merged_questionnaire.csv,rxdrsd3___icd_10_cm_code_3_description,questionnaire,merged_questionnaire.csv,rxdrsd3___icd_10_cm_code_3_description,exact_header_match
rxdrsc3___icd_10_cm_code_3,str,7374,99.15,29,rxdrsc3_icd_10_cm_code_3,rxdrsc3_icd_10_cm_code_3,questionnaire,merged_questionnaire.csv,rxdrsc3___icd_10_cm_code_3,questionnaire,merged_questionnaire.csv,rxdrsc3___icd_10_cm_code_3,exact_header_match
whd080k___took_laxatives_or_vomited,float64,7369,99.09,1,whd080k_took_laxatives_or_vomited,whd080k_took_laxatives_or_vomited,questionnaire,merged_questionnaire.csv,whd080k___took_laxatives_or_vomited,questionnaire,merged_questionnaire.csv,whd080k___took_laxatives_or_vomited,exact_header_match
heq020___ever_prescribed_meds_treat_hepatitis_b?,float64,7364,99.02,3,heq020_ever_prescribed_meds_treat_hepatitis_b,heq020_ever_prescribed_meds_treat_hepatitis_b,questionnaire,merged_questionnaire.csv,heq020___ever_prescribed_meds_treat_hepatitis_b?,questionnaire,merged_questionnaire.csv,heq020___ever_prescribed_meds_treat_hepatitis_b?,exact_header_match
mcq510f___liver_condition_other,float64,7364,99.02,1,mcq510f_liver_condition_other,mcq510f_liver_condition_other,questionnaire,merged_questionnaire.csv,mcq510f___liver_condition_other,questionnaire,merged_questionnaire.csv,mcq510f___liver_condition_other,exact_header_match
medication_12,str,7362,98.99,46,medication_12,medication_12,questionnaire,merged_questionnaire.csv,medication_12,questionnaire,merged_questionnaire.csv,medication_12,exact_header_match
cdq009f___pain_in_left_chest,float64,7343,98.74,1,cdq009f_pain_in_left_chest,cdq009f_pain_in_left_chest,questionnaire,merged_questionnaire.csv,cdq009f___pain_in_left_chest,questionnaire,merged_questionnaire.csv,cdq009f___pain_in_left_chest,exact_header_match
medication_11,str,7334,98.62,49,medication_11,medication_11,questionnaire,merged_questionnaire.csv,medication_11,questionnaire,merged_questionnaire.csv,medication_11,exact_header_match
rhq542c___hormone_cream/suppository/injection_used,float64,7330,98.56,1,rhq542c_hormone_cream_suppository_injection_used,rhq542c_hormone_cream_suppository_injection_used,questionnaire,merged_questionnaire.csv,rhq542c___hormone_cream/suppository/injection_used,questionnaire,merged_questionnaire.csv,rhq542c___hormone_cream/suppository/injection_used,exact_header_match
mcd180d___age_when_told_you_had_angina,float64,7328,98.53,40,mcd180d_age_when_told_you_had_angina,mcd180d_age_when_told_you_had_angina,questionnaire,merged_questionnaire.csv,mcd180d___age_when_told_you_had_angina,questionnaire,merged_questionnaire.csv,mcd180d___age_when_told_you_had_angina,exact_header_match
heq040___ever_prescribed_meds_treat_hepatitis_c?,float64,7309,98.28,3,heq040_ever_prescribed_meds_treat_hepatitis_c,heq040_ever_prescribed_meds_treat_hepatitis_c,questionnaire,merged_questionnaire.csv,heq040___ever_prescribed_meds_treat_hepatitis_c?,questionnaire,merged_questionnaire.csv,heq040___ever_prescribed_meds_treat_hepatitis_c?,exact_header_match
whd080i___took_prescription_diet_pills,float64,7305,98.23,1,whd080i_took_prescription_diet_pills,whd080i_took_prescription_diet_pills,questionnaire,merged_questionnaire.csv,whd080i___took_prescription_diet_pills,questionnaire,merged_questionnaire.csv,whd080i___took_prescription_diet_pills,exact_header_match
cdq009d___pain_in_upper_sternum,float64,7305,98.23,1,cdq009d_pain_in_upper_sternum,cdq009d_pain_in_upper_sternum,questionnaire,merged_questionnaire.csv,cdq009d___pain_in_upper_sternum,questionnaire,merged_questionnaire.csv,cdq009d___pain_in_upper_sternum,exact_header_match
mcd180b___age_when_told_you_had_chf,float64,7288,98.0,44,mcd180b_age_when_told_you_had_chf,mcd180b_age_when_told_you_had_chf,questionnaire,merged_questionnaire.csv,mcd180b___age_when_told_you_had_chf,questionnaire,merged_questionnaire.csv,mcd180b___age_when_told_you_had_chf,exact_header_match
mcd180c___age_when_told_you_had_chd,float64,7283,97.93,37,mcd180c_age_when_told_you_had_chd,mcd180c_age_when_told_you_had_chd,questionnaire,merged_questionnaire.csv,mcd180c___age_when_told_you_had_chd,questionnaire,merged_questionnaire.csv,mcd180c___age_when_told_you_had_chd,exact_header_match
medication_10,str,7276,97.84,75,medication_10,medication_10,questionnaire,merged_questionnaire.csv,medication_10,questionnaire,merged_questionnaire.csv,medication_10,exact_header_match
whd080h___joined_a_weight_loss_program,float64,7271,97.77,1,whd080h_joined_a_weight_loss_program,whd080h_joined_a_weight_loss_program,questionnaire,merged_questionnaire.csv,whd080h___joined_a_weight_loss_program,questionnaire,merged_questionnaire.csv,whd080h___joined_a_weight_loss_program,exact_header_match
mcq510a___liver_condition_fatty_liver,float64,7264,97.67,2,mcq510a_liver_condition_fatty_liver,mcq510a_liver_condition_fatty_liver,questionnaire,merged_questionnaire.csv,mcq510a___liver_condition_fatty_liver,questionnaire,merged_questionnaire.csv,mcq510a___liver_condition_fatty_liver,exact_header_match
kiq025___received_dialysis_in_past_12_months?,float64,7251,97.5,2,kiq025_received_dialysis_in_past_12_months,kiq025_received_dialysis_in_past_12_months,questionnaire,merged_questionnaire.csv,kiq025___received_dialysis_in_past_12_months?,questionnaire,merged_questionnaire.csv,kiq025___received_dialysis_in_past_12_months?,exact_header_match
