column,sentinel_value,count,fraction,column_min,column_max,q95,likely_special_missing_code
slq040___how_often_do_you_snort_or_stop_breathing,9,323,0.043431491192685225,0.0,9.0,3.0,True
bpq060___ever_had_blood_cholesterol_checked,9,250,0.033615705257496305,1.0,9.0,2.0,True
diq180___had_blood_tested_past_three_years,9,174,0.023396530859217425,1.0,9.0,2.0,True
mcq300a___close_relative_had_heart_attack,9,162,0.021782977006857603,1.0,9.0,2.0,True
mcq300b___close_relative_had_asthma,9,133,0.017883555196988032,1.0,9.0,2.0,True
huq051___#times_receive_healthcare_over_past_year,7,110,0.014790910313298372,0.0,99.0,6.0,True
paq655___days_vigorous_recreational_activities,7,103,0.013849670566088476,1.0,99.0,6.0,True
mcq300c___close_relative_had_diabetes,9,90,0.012101653892698669,1.0,9.0,2.0,True
mcq092___ever_receive_blood_transfusion,9,52,0.006992066693559231,1.0,9.0,2.0,True
bpq080___doctor_told_you___high_cholesterol_level,9,37,0.004975124378109453,1.0,9.0,2.0,True
smq078___how_soon_after_waking_do_you_smoke,7,34,0.004571735915019497,1.0,99.0,5.0,True
whq225___times_lost_10_lbs_or_more_to_lose_weight,9,30,0.004033884630899556,1.0,9.0,5.0,True
heq010___ever_told_you_have_hepatitis_b?,9,29,0.003899421809869571,1.0,9.0,2.0,True
heq030___ever_told_you_have_hepatitis_c?,9,28,0.003764958988839586,1.0,9.0,2.0,True
mcq170m___still_have_thyroid_problem,9,27,0.003630496167809601,1.0,9.0,2.0,True
osq230___any_metal_objects_inside_your_body?,9,24,0.003227107704719645,1.0,9.0,2.0,True
mcq035___still_have_asthma,9,23,0.00309264488368966,1.0,9.0,2.0,True
rhq078___ever_treated_for_a_pelvic_infection/pid?,9,21,0.0028237192416296895,1.0,9.0,2.0,True
mcq160d___ever_told_you_had_angina,9,20,0.002689256420599704,1.0,9.0,2.0,True
diq275___past_year_dr_checked_for_a1c,9,19,0.002554793599569719,1.0,9.0,2.0,True
kiq026___ever_had_kidney_stones?,9,19,0.002554793599569719,1.0,9.0,2.0,True
rhq305___had_both_ovaries_removed?,9,19,0.002554793599569719,1.0,9.0,2.0,True
bpq070___when_blood_cholesterol_last_checked,9,16,0.002151405136479763,1.0,9.0,4.0,True
rhd143___are_you_pregnant_now?,9,16,0.002151405136479763,1.0,9.0,2.0,True
rhq160___how_many_times_have_been_pregnant?,9,15,0.002016942315449778,1.0,77.0,7.0,True
whq030___how_do_you_consider_your_weight,9,15,0.002016942315449778,1.0,9.0,3.0,True
huq051___#times_receive_healthcare_over_past_year,99,14,0.001882479494419793,0.0,99.0,6.0,True
kiq029___pass_kidney_stone_in_past_12_months?,9,13,0.0017480166733898077,1.0,9.0,2.0,True
mcq160a___ever_told_you_had_arthritis,9,13,0.0017480166733898077,1.0,9.0,2.0,True
rhq540___ever_use_female_hormones?,9,13,0.0017480166733898077,1.0,9.0,2.0,True
mcq550___has_dr_ever_said_you_have_gallstones,9,12,0.0016135538523598225,1.0,9.0,2.0,True
cdq010___shortness_of_breath_on_stairs/inclines,9,11,0.0014790910313298372,1.0,9.0,2.0,True
diq160___ever_told_you_have_prediabetes,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq053___taking_treatment_for_anemia/past_3_mos,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq160b___ever_told_you_had_congestive_heart_failure,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq160c___ever_told_you_had_coronary_heart_disease,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq160l___ever_told_you_had_any_liver_condition,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq160m___ever_told_you_had_thyroid_problem,9,11,0.0014790910313298372,1.0,9.0,2.0,True
bpq090d___told_to_take_prescriptn_for_cholesterol,9,10,0.001344628210299852,1.0,9.0,2.0,True
diq360___last_time_had_pupils_dilated_for_exam,9,10,0.001344628210299852,1.0,9.0,5.0,True
mcd093___year_receive_blood_transfusion,9,10,0.001344628210299852,1.0,9.0,3.0,True
cdq002___sp_get_it_walking_uphill_or_in_a_hurry,9,9,0.0012101653892698668,1.0,9.0,2.0,True
mcq080___doctor_ever_said_you_were_overweight,9,9,0.0012101653892698668,1.0,9.0,2.0,True
mcq160e___ever_told_you_had_heart_attack,9,9,0.0012101653892698668,1.0,9.0,2.0,True
mcq366c___doctor_told_to_reduce_salt,9,9,0.0012101653892698668,1.0,9.0,2.0,True
alq290___#_times_12+_drinks_in_1_day/past_12_mos,99,8,0.0010757025682398816,0.0,99.0,10.0,True
